Date,Open,High,Low,Close,Volume
09/10/19,205.00,205.00,202.00,204.60,449870
09/09/19,203.40,205.00,201.00,205.00,194800
09/06/19,201.00,205.00,200.00,203.40,520240
09/05/19,200.00,202.20,198.20,202.00,442420
09/04/19,201.00,201.20,197.10,199.80,132080
09/03/19,198.20,205.00,195.00,205.00,680470
09/02/19,200.00,200.00,195.00,199.00,183960
08/30/19,194.90,204.00,192.50,204.00,1339130
08/29/19,192.10,195.40,189.00,195.40,1226160
08/28/19,186.00,193.00,185.10,193.00,749260
08/27/19,186.00,186.50,185.40,186.20,588740
08/23/19,187.40,191.00,185.20,189.80,566160
08/22/19,187.20,190.00,186.00,189.40,608800
08/20/19,191.70,192.10,186.20,190.60,379950
08/19/19,183.10,191.90,183.10,191.90,440460
08/16/19,189.30,190.10,182.40,182.40,300030
08/15/19,187.00,189.80,183.60,189.30,879310
08/14/19,194.40,194.40,185.20,189.30,271170
08/13/19,194.00,195.00,183.60,195.00,484190
08/09/19,192.00,202.20,190.40,193.50,1746730
08/08/19,182.50,192.00,182.00,192.00,2157140
08/07/19,173.30,182.40,170.50,182.40,864350
08/06/19,173.00,173.50,170.00,173.30,723620
08/05/19,180.00,180.00,174.60,175.50,369720
08/02/19,181.90,181.90,178.00,180.00,128840
08/01/19,182.00,182.40,178.10,182.00,352470
07/31/19,182.50,184.00,181.10,182.50,722160
07/30/19,185.00,185.00,182.40,184.00,172310
07/29/19,185.00,185.00,182.10,185.00,200980
07/26/19,186.00,186.00,183.20,185.00,74480
07/25/19,184.00,186.30,182.10,186.00,348750
07/24/19,185.00,185.50,182.00,184.60,271720
07/23/19,185.00,186.70,183.90,185.50,311910
07/22/19,185.00,186.90,185.00,186.90,222460
07/19/19,187.40,187.40,186.30,187.00,474620
07/18/19,182.10,187.50,182.10,187.40,395070
07/17/19,185.00,186.00,181.00,182.10,140810
07/16/19,183.00,187.10,183.00,185.00,931750
07/15/19,179.00,183.50,178.20,182.00,491610
07/12/19,180.00,183.00,178.40,179.00,668390
07/11/19,173.00,180.10,172.00,179.80,1567440
07/10/19,173.00,174.00,171.80,173.00,91550
